DETAILED EVALUATION LOG | Alpha: 1.0
Timestamp: Thu Jan 22 20:39:53 2026
------------------------------------------------------------
Episode 01: Total Reward: 239.93 | Captures: 12 | Collisions:  0
Episode 02: Total Reward: 280.00 | Captures: 14 | Collisions:  0
Episode 03: Total Reward: 200.00 | Captures: 10 | Collisions:  0
Episode 04: Total Reward: 320.00 | Captures: 12 | Collisions:  0
Episode 05: Total Reward: 140.00 | Captures:  7 | Collisions:  0
Episode 06: Total Reward: 177.23 | Captures:  9 | Collisions:  0
Episode 07: Total Reward: 280.00 | Captures: 14 | Collisions:  0
Episode 08: Total Reward: 360.00 | Captures: 16 | Collisions:  0
Episode 09: Total Reward: 60.00 | Captures:  3 | Collisions:  0
Episode 10: Total Reward: 109.29 | Captures:  6 | Collisions:  0
Episode 11: Total Reward: 57.72 | Captures:  3 | Collisions:  0
Episode 12: Total Reward: 60.00 | Captures:  3 | Collisions:  0
Episode 13: Total Reward: 260.00 | Captures: 13 | Collisions:  0
Episode 14: Total Reward: 238.58 | Captures:  9 | Collisions:  0
Episode 15: Total Reward: 141.15 | Captures:  9 | Collisions:  0
Episode 16: Total Reward: 180.00 | Captures:  9 | Collisions:  0
Episode 17: Total Reward: 119.78 | Captures:  6 | Collisions:  0
Episode 18: Total Reward: 220.00 | Captures: 10 | Collisions:  0
Episode 19: Total Reward: 400.00 | Captures: 15 | Collisions:  0
Episode 20: Total Reward: 20.00 | Captures:  1 | Collisions:  0
------------------------------------------------------------
SUMMARY: Avg Reward: 193.18 | Avg Captures: 9.05
